Naam,Wat,Plaats,Land,Link,Geweest
Spoorweg museum,Museum - Historie,Utrecht,NL,https://www.spoorwegmuseum.nl/,2024
ARoS,Museum - Kunst,Aarhus,DK,Oplev kunst i verdensklasse og fantastisk udsigt over Aarhus,"2024,2025"
Expositie Forum,Museum - Kunst,Groningen,NL,https://forum.nl/nl/expositie,2026
Glasmuseet Ebeltoft,Museum - Kunst,Ebeltoft,DK,http://www.glaskunst.dk/,2023
Groninger Museum,Museum - Kunst,Groningen,NL,https://www.groningermuseum.nl/en,
Drents Museum,Museum - Kunst,Assen,NL,https://drentsmuseum.nl/,2024
Airborn museum,Museum - Oorlog,Arnhem,NL,Airborne Museum at the Bridge - De Slag om Arnhem,
Boerhaven,Museum - Wetenschap,Leiden,NL,Ontdek wat wetenschap doet - Rijksmuseum Boerhaave,
MuZieum,Museum - Wetenschap,Nijmegen,NL,Opent je de ogen | muZIEum,
Naturalis,Museum - Wetenschap,Leiden,NL,Naturalis Biodiversity Center | Museum en onderzoek in Leiden,
Nemo,Museum - Wetenschap,Amsterdam,NL,NEMO Science Museum - NEMO Science Museum,
Efteling,Pretpark,Tilburg,NL,Wereld vol Wonderen - Efteling,2023
LegoLand,Pretpark,Billund,DK,https://www.legoland.dk/en/,2025
Walibie,Pretpark,Biddinghuizen,NL,Het ultieme pretpark voor de hele familie - Walibi Holland,
Kloostermuseum Sint Bernardushof,Museum - Historie,Aduard,NL,www.kloostermuseumaduard.nl,2023
Museum Stad Appingedam,Museum - Historie,Appingedam,NL,www.museumstadappingedam.nl,2023
Het MOW,Museum - Historie,Bellingwolde,NL,www.hetmow.nl,
MuzeeAquarium,Dierentuin,Delfzijl,NL,www.muzeeaquarium.nl,2025
Museum Wierdenland,Museum - Historie,Ezinge,NL,www.wierdenland.nl,2024
Universiteitsmuseum,Museum - Wetenschap,Groningen,NL,www.rug.nl/museum/,-
Museum aan de A,Museum - Historie,Groningen,NL,www.museumaandea.nl,-
Tiedens spelletjesmuseum,Museum,Groningen,NL,www.tiedens.nl,-
Klooster Yesse,Museum - Historie,Haren,NL,www.kloosteryesse.nl,
Klokkengieterijmuseum,Museum - Historie,Heiligerlee,NL,www.museaheiligerlee.nl,-
Museum Slag bij Heiligerlee,Museum - Historie,Heiligerlee,NL,www.museaheiligerlee.nl,-
Nationaal Busmuseum,Museum - Historie,Hoogezand,NL,www.nationaalbusmuseum.nl,
De Theefabriek,Museum - Historie,Houwerzijl,NL,www.theefabriek.nl,"2024,2025"
Museum Nienoord,Museum - Historie,Leek,NL,www.museumnienoord.nl,
Museum Borg Verhildersum,Museum - Historie,Leens,NL,www.verhildersum.nl,2025
Abel Tasman Museum,Museum - Historie,Lutjegast,NL,www.abeltasman.org,2024
Bakkerijmuseum Mendels,Museum,Middelstum,NL,www.mendels.info,2025
Stelmakerij Wever,Museum - Historie,Mussel,NL,www.stelmakerijwever.nl,
"Vliegveld Oostwold, Heritage Hangar",Museum - Historie,Oostwold,NL,www.oostwold-airport.nl,
Historische Scheepswerf Wolthuis,Museum - Historie,Sappemeer,NL,www.historischescheepswerf.nl,
SHC De Oude Stelmakerij,Museum - Historie,Sellingen,NL,www.streekhistorischcentrum.nl,
Landgoed Fraeylemaborg,Museum - Historie,Slochteren,NL,www.fraeylemaborg.nl,
Museumspoorlijn STAR,Museum - Historie,Stadskanaal,NL,www.stadskanaalrail.nl,
Streekhistorisch Centrum,Museum - Historie,Stadskanaal,NL,www.streekhistorischcentrum.nl,
Museum Klooster Ter Apel,Museum - Historie,Ter Apel,NL,www.kloosterterapel.nl,
Museum Menkemaborg,Museum - Historie,Uithuizen,NL,www.menkemaborg.nl,2026
Veenkoloniaal Museum,Museum - Historie,Veendam,NL,www.veenkoloniaalmuseum.nl,2024
Openluchtmuseum het Hoogeland,Museum - Historie,Warffum,NL,www.hethoogeland.nl,2026
Museum Helmantel,Museum - Kunst,Westeremden,NL,www.helmantel.nl,
KinderBoekenHuis,Museum - Historie,Winsum,NL,www.kinderboekenhuis.eu,2024
Visserijmuseum,Museum - Historie,Zoutkamp,NL,www.visserijmuseum.com,
Fries Museum,Museum,Leeuwarden,NL,https://www.friesmuseum.nl/,
Keramiekmuseum Princessehof,Museum,Leeuwarden,NL,https://www.princessehof.nl/,
Museum Opsterlân,Museum,Gorredijk,NL,https://www.museumopsterlan.nl/,
Museum Dokkum,Museum,Dokkum,NL,https://www.museumdokkum.nl/,
Museum ‘t Fiskershúske Moddergat,Museum,Moddergat,NL,https://www.museummoddergat.nl/,
Museum ‘t Kiekhuus,Museum,Wolvega,NL,https://www.kiekhuus.nl/,
Museum & Sterrenwacht Burgum,Museum,Burgum,NL,https://www.observeum.nl/,
Tresoar,Museum,Leeuwarden,NL,https://tresoar.nl/,
Oudheidkamer Weststellingwerf,Museum,Wolvega,NL,https://oudheidkamer-weststellingwerf.nl/,
Nationaal Landschap Zuidwest Fryslân,Museum,Oudemirdum,NL,https://nationaallandschap.frl/,
Museum Joure,Museum,Joure,NL,https://www.museumjoure.nl/,
Museum Hert fan Fryslân,Museum,Grou,NL,https://museumhertfanfryslan.nl/,
Museum Heerenveen,Museum,Heerenveen,NL,https://www.museumheerenveen.frl/,
Museum de Grutterswinkel,Museum,Leeuwarden,NL,https://grutterswinkel-leeuwarden.nl/,
Dekema State Jelsum,Museum,Jelsum,NL,https://www.dekemastate.nl/,
Natuurmuseum Fryslân,Museum,Leeuwarden,NL,https://natuurmuseumfryslan.nl/,
Fries Scheepvaart Museum,Museum,Sneek,NL,https://www.friesscheepvaartmuseum.nl/,
Fries Landbouwmuseum,Museum,Leeuwarden,NL,https://landbouwmuseumfriesland.nl/,
Museum Drachten,Museum,Drachten,NL,https://museumdrachten.nl/,
Museum Martena,Museum,Franeker,NL,https://www.museummartena.nl/,
Historisch Centrum Leeuwarden (HCL),Museum,Leeuwarden,NL,https://historischcentrumleeuwarden.nl/,
De Kruidhof,Museum,Buitenpost,NL,https://www.dekruidhof.nl/,
Openluchtmuseum De Spitkeet,Museum,Harkema,NL,https://www.despitkeet.nl/,
Aerden Plaats te Oudebildtzijl,Museum,Oudebildtzijl,NL,https://www.aerdenplaats.nl/,
Koninklijk Eise Eisinga Planetarium,Museum,Franeker,NL,https://www.eisinga-planetarium.nl/,
Kennis- en Ynformaasjesintrum Terp Hegebeintum,Museum,Hegebeintum,NL,https://www.terphegebeintum.nl/,
De Utrecht,Museum,Leeuwarden,NL,https://deutrecht.frl/,
Museum en Werkplaats Houtstad IJlst,Museum,IJlst,NL,https://www.houtstad-ijlst.nl/,
Nationaal Modelspoor Museum,Museum,Sneek,NL,https://modelspoormuseum.nl/,
Museumhuis Van Eysinga,Museum,Leeuwarden,NL,https://www.hendrickdekeyser.nl/museumbezoek/huis-van-eysinga-leeuwarden,
Keatsmuseum,Museum,Franeker,NL,https://www.keatsmuseum.frl/,
Stichting Yeb Hettinga Skoalle,Museum,Firdgum,NL,https://www.yebhettingamuseum.nl/,
UNESCO Werelderfgoed Ir. D.F. Woudagemaal,Museum,Lemmer,NL,https://www.woudagemaal.nl/,
MUSEUM BESCHERMING BEVOLKING,Museum,Grou,NL,https://www.museumbeschermingbevolking.nl/,
Park Vijversburg,Museum,Tytsjerk,NL,https://vijversburg.nl/,
Openluchtmuseum De Sûkerei,Museum,Damwâld,NL,https://desukerei.nl/,
Bunkermuseum Vlieland,Museum,Vlieland,NL,https://bunkermuseumvlieland.nl/,
Landbouw- en juttersmuseum (Ameland),Museum,Buren,NL,https://amelandermusea.nl/locaties/landbouw-en-juttersmuseum-swartwoude/,2026
Cultuur-historisch museum Sorgdrager (Ameland),Museum,Hollum,NL,https://amelandermusea.nl/locaties/cultuurhistorisch-museum-sorgdrager/,2026
Maritiem Centrum Abraham Fock (Ameland),Museum,Hollum,NL,https://amelandermusea.nl/locaties/maritiem-centrum-abraham-fock/,2026
Bunkermuseum & Vuurtoren (Ameland),Museum,Hollum,NL,https://amelandermusea.nl/locaties/bunkermuseum-ameland/,2026
Natuurcentrum (Ameland),Museum,Nes,NL,https://amelandermusea.nl/locaties/natuurcentrum/,2026
Museum bescherming bevolking, Museum, Grou, NL, https://www.museumbeschermingbevolking.nl/, 
Museum bescherming bevolking, Museum, Rijswijk, NL, https://www.museumbeschermingbevolking.nl/, 
NSO-grondstation, Museum, Burum, NL, https://nl.wikipedia.org/wiki/Satellietgrondstation_NSO
